Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Chewbacca (S)	TFA	TFA011_Chewbacca_S	L	Character	Wookiee Smuggler	9.0	30.0	8	6.0	R	11.0		Each of your opponent's Characters lose Stealth. | Pay 0 Force -> Retaliate X, where X is Chewbacca's total health.		RES	
Chewbacca's Bowcaster (B)	TFA	TFA012_Chewbacca_s_Bowcaster_B	L	Equipment	Character - Blaster Weapon	3.0				R	12.0		"Pay 4 build points -> Equip | Equipped Chewbacca gets Lucky 2 and ""Whenever damage would cause Chewbacca to be discarded, you may prevent that damage. If you do, retreat him and detach Chewbacca's Bowcaster from him. You may then attach it to Han Solo without paying its equip cost."" | Equipped Han Solo gets Double Damage and loses Accuracy."		RES	
Elite First Order Squad	TFA	TFA013_Elite_First_Order_Squad	D	Ground/Character	First Order Stormtrooper Squad	8.0	40.0	4	5.0	R	13.0		Switch: Critical Hit 2/Accuracy 1 | As long as Captain Phasma or Kylo Ren is in any arena, whenever this unit would be discarded from any arena, you may pay 2 Force. If you do, retreat it and remove all damage counters from it instead.		RES	
Eravana (A)	TFA	TFA014_Eravana_A	L	Space	Smuggler Transport	7.0	40.0	3	6.0	R	14.0		Tap -> Choose one: Take a card from any discard pile and put it face-down beneath Eravana.  Or: Remove X face-down cards beneath Eravana from the game. Take a Creature unit card with printed build cost X from your hand and put it into its arena untapped. Play only during your build step.		RES	
Execution	TFA	TFA015_Execution	D	Battle						R	15.0		Pay 9 Force -> Choose one of your opponent's units in the Ground or Character arena with 1 or more captivity counters on it. Discard the chosen unit. Play only if you have a Dark Jedi in the Character arena with higher printed build cost than the chosen unit.		RES	
Finalizer (A)	TFA	TFA016_Finalizer_A	D	Space	First Order Capital Ship	9.0	30.0	6	6.0	R	16.0		Armor | As long as General Armitage Hux is in any arena, Finalizer gets Accuracy 1. | Tap -> Tape one of your opponent's untapped units in the Space arena and put 3 damage counters on it. Play only when Finalizer would attack.		RES	
Finn (A)	TFA	TFA017_Finn_A	L	Character	Resistance Soldier	6.0	50.0	5	5.0	R	17.0		You may attach a Lightsaber Weapon to Finn without paying its equip cost. Finn gets the abilities granted by the Lightsaber Weapon, as if he were a Jedi. Finn can only have one Lightsaber Weapon attached to him.		RES	
Finn (B)	TFA	TFA018_Finn_B	L	Ground/Character	Independent Stormtrooper	7.0	50.0	5	6.0	R	18.0		When your build step starts, if Finn is in the Ground arena, gain 1 build point. | Whenever you would draw a card, if Finn is in the Character arena, draw 1 extra card. | INSERT: As long as Finn is pointing a unit in the Space arena, tht unit gets Lucky 2.		RES	
First Order Regiment	TFA	TFA019_First_Order_Regiment	D	Ground	First Order Stormtrooper Squad	8.0	50.0	4	8.0	R	19.0		As long as you have General Armitage Hux in any arena, this unit gets Double Damage. | Pay 2 build points -> This unit gets Double Strike until end of turn.		RES	
General Armitage Hux (A)	TFA	TFA020_General_Armitage_Hux_A	D	Character	First Order Officer	7.0	40.0	4	5.0	R	20.0		"Each of your First Order Stormtroopers costs 1 less build counter to deploy. | Tap, Pay 2 build points -> Take 1 50/4/3 Elite Trooper Squad Subordinate with ""Accuracy 1"" and put it into the Ground arena."	<s><l>Tap and pay 2BP to spawn Elite Trooper Squad</l><f>/spawn Elite Trooper Squad;/cr90;/player stat2 -2;/s taps General Armitage Hux and pays 2BP to spawn an Elite Trooper Squad subordinate</f></s>	RES	
General Leia Organa Solo (R)	TFA	TFA021_General_Leia_Organa_Solo_R	L	Character	Force Sensitive Resistance Officer 	8.0	30.0	3	5.0	R	21.0		Inspiration | Tap -> Search your deck for a Han Solo unit card, show it to your opponent, and put it into your build zone with 3 build counters on it. Shuffle your deck.		RES	
Han Solo (Q)	TFA	TFA022_Han_Solo_Q	L	Character	Smuggler	7.0	50.0	5	4.0	R	22.0		"When you deploy Han, you may search your deck for a Millennium Falcon unit card. If you do, show it to your opponent and put it into your hand. That card gets ""Alternate Cost: Tap Chewbacca and Han Solo, discard 2 cards from your hand."" until end of turn. Shuffle your deck."		RES	
Han's Strike Team (B)	TFA	TFA023_Han_s_Strike_Team_B	L	Ground	Resistance Smuggler Squad - Wookiee	7.0	40.0	5	5.0	R	23.0		"Stack: Chewbacca, Finn, and Han Solo. | As long as Han Solo is in Han's Strike Team's stack, Han's Strike Team gets Accuracy 2. | As long as Finn is in Han's Strike Team's stack, Han's Strike Team gets Lucky 2. | As long as Chewbacca is in Han's Strike Team's stack, Han's Strike Team gets ""Pay 0 Force -> Retaliate 4."""		RES	
Hope Is Not Lost	TFA	TFA024_Hope_Is_Not_Lost	L	Mission		2.0				R	24.0		This turn, whenever damage would cause one of your Characters to be discarded from the Character arena, you may prevent that damage. If you do, retreat that Character, gain 1 Force, and draw a card.		RES	
Jessika Pava (A)	TFA	TFA025_Jessika_Pava_A	L	Character	Resistance Officer	4.0	30.0	3	3.0	R	25.0		Starfighter Pilot. The Starfighter gets:  -Precision  -Damage Control 2  -Pay 0 Force->Intercept		RES	
Kylo Ren (A)	TFA	TFA026_Kylo_Ren_A	D	Character	First Order Dark Jedi Apprentice	7.0	50.0	7	5.0	R	26.0		Fury 4 | Pay 3 Force -> Kylo does 3 damage to one of your opponent's units in the Character arena. This damage can only be prevented by a Jedi. | Pay 4 Force -> Evade 2.		RES	
Kylo Ren (B)	TFA	TFA027_Kylo_Ren_B	D	Character	First Order Dark Jedi Apprentice	6.0	40.0	5	6.0	R	27.0		Fury 3 | Each of your First Order Ground units gets Fury 2. | Pay 2 Force -> Evade 2		RES	
Kylo Ren's Lightsaber (A)	TFA	TFA028_Kylo_Ren_s_Lightsaber_A	D	Equipment	Character - Lightsaber Weapon	2.0				R	28.0		"Pay 2 Force -> Equip | Equipped Jedi or Sith gets +2 power. | Equipped Kylo Ren also gets ""Upkeep: Pay 1 Force or tap Kylo."" and ""Bounty: Gain 1 Force and put 2 damage counters on one of your opponent's units in the Character arena."""		RES	
Kylo's Shuttle (A)	TFA	TFA029_Kylo_s_Shuttle_A	D	Space	First Order Transport	4.0	40.0	3	3.0	R	29.0		Shields 2 | When you deploy Kylo's Shuttle, you may search your deck for a Kylo Ren unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		RES	
Kylo's Strike Team (A)	TFA	TFA030_Kylo_s_Strike_Team_A	D	Space	First Order Squadron	7.0	40.0	6	6.0	R	30.0		Stack: Kylo's Shuttle | Stealth | As long as Kylo Ren is in any arena, Kylo's Strike Team gets Critical Hit 1 and Parry 1 | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1		RES	
Kylo's Strike Team (B)	TFA	TFA031_Kylo_s_Strike_Team_B	D	Ground	First Order Stormtrooper Squad	7.0	50.0	5	5.0	R	31.0		Hidden Cost 5 | Stack: Kylo Ren | Accuracy 1 | Tap, Pay 1 built point -> Tap one of your opponent's non-Jedi in the Character arena. If that unit is a Smuggler or Wookiee, you may also draw a card.		RES	
Kylo's Temper	TFA	TFA032_Kylo_s_Temper	D	Battle						R	32.0		Discard a card at random from your hand, put a damage counter on one of your units -> Choose one: Kylo Ren gets +3 power and Precision for this attack. Or:  Kylo Ren gets Fury 4 and Overkill for this attack. 		RES	
Leia's Transport (A)	TFA	TFA033_Leia_s_Transport_A	L	Space/Ground	Resistance Transport	7.0	40.0	2	6.0	R	33.0		"Tap -> Search your deck for a Character unit card with ""Leia"" in its name, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step. | Tap -> Each of your Resistance units in the Ground arena gets +1 power until end of turn. Play only during your build step."		RES	
Maz Kanata (A)	TFA	TFA034_Maz_Kanata_A	L	Character	Force Sensitive Pirate Queen	4.0	20.0	1	3.0	R	34.0		Reserves: Tap -> Search your deck and your discard pile for a Lightsaber Weapon card, show it to your opponent, and put it into your build zone with 2 build counters on it. Shuffle your deck. Play only during your build step.		RES	
Maz Kanata (B)	TFA	TFA035_Maz_Kanata_B	L	Character	Force Sensitive Pirate Queen	6.0	20.0	1	3.0	R	35.0		Reserves: Tap -> Each of your unit's activated abilities costs 1 less Force to play until end of turn. Abilities that cost 1 or more Force can't cost less than 1 Force.		RES	
Millennium Falcon (S)	TFA	TFA036_Millennium_Falcon_S	L	Space/Ground	Scavenger Transport	7.0	70.0	4	5.0	R	36.0		"Hidden Cost 4 | The Millennium Falcon can have an extra pilot. | Foresight: Gain 2 Force. | As long as the Millennium Falcon is piloted by Rey, it gets ""Pay 2 Force -> Evade 2."" | Pay 2 Force -> Retaliate 4"		RES	
Nien Nunb (B)	TFA	TFA037_Nien_Nunb_B	L	Character	Sullustan Resistance Officer 	5.0	20.0	3	4.0	R	37.0		Starfighter Pilot. The Starfighter gets:  -+10 speed  -Accuracy 1  -Critical Hit 2		RES	
Not Done Yet	TFA	TFA038_Not_Done_Yet	N	Battle						R	38.0		"Untap one of your opponent's units and one of your units in the Character arena. Each unit gets +2 power, Precision, and ""Damage from this unit can't be prevented."" until end of turn. Each player rolls a die. If the result is a tie, reroll until a player rolls higher. The player who rolls higher must attack first with his or her unit. Play only when the battle phase ends."		RES	
Outmatched	TFA	TFA039_Outmatched	D	Battle						R	39.0		Pay 5 Force -> Choose an attacking unit in any arena. Put 2 damage counters on the chosen unit. If that unit is discarded as a result of that damage, you may untap one of your units in the same arena. Play only if you have a unit in the same arena with higher printed build cost than the chosen unit. | Pay 6 Force, discard a card from your hand -> Meditate.		RES	
Phasma's Division (A)	TFA	TFA040_Phasma_s_Division_A	D	Ground/Character	First Order Stormtrooper Squad	11.0	50.0	6	6.0	R	40.0		Stack: Captain Phasma. | Switch: Damage Control 2/Accuracy 1 | As long as Captain Phasma is in any arena, Phasma's Division gets Double Damage.		RES	
Phasma's Division (B)	TFA	TFA041_Phasma_s_Division_B	D	Ground 	First Order Stormtrooper Squad	8.0	50.0	6	6.0	R	41.0		Alternative Cost: Tap Captain Phasma, discard a card from your hand, discard the top card of your deck, pay 4 Force. | Accuracy 1 | Critical Hit 2		RES	
Poe Dameron (A)	TFA	TFA042_Poe_Dameron_A	L	Character	Resistance Officer	6.0	40.0	5	5.0	R	42.0		Accuracy 1 | Starfigher Pilot. The Starfighter gets:  - Accuracy 1  - Each of your other Starfighters with a Pilot on it gets Accuracy 1.		RES	
Poe Dameron (B)	TFA	TFA043_Poe_Dameron_B	L	Ground/Character	Resistance Officer	9.0	40.0	5	5.0	R	43.0		Switch: Inspiration/Accuracy 2 | Whenever Poe is damaged, you may search your deck for a Starfighter unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.		RES	
Poe's Starfighter (A)	TFA	TFA044_Poe_s_Starfighter_A	L	Space	Resistance Starfighter	5.0	60.0	3	3.0	R	44.0		Accuracy 1 | Shields 1 | As long as Poe's Starfighter is piloted by Poe Dameron, it gets Accuracy 1 and Lucky 1		RES	
Poe's Starfighter (B)	TFA	TFA045_Poe_s_Starfighter_B	L	Space/Ground	Resistance Starfighter	7.0	60.0	3	3.0	R	45.0		Switch:+10 speed/+1 power | Accuracy 2 | Double Strike		RES	
Red Four (A)	TFA	TFA046_Red_Four_A	L	Space	Resistance Starfighter	4.0	50.0	3	2.0	R	46.0		Alternative Cost: Tap Red Squadron, discard a card from your hand, pay 2 Force. | Double Damage | Red Four gets Accuracy 2 when attacking a First Order unit.		RES	
Red Squadron (B)	TFA	TFA047_Red_Squadron_B	L	Space	Resistance Squadron	7.0	40.0	6	6.0	R	47.0		Stack: Red Four and Red Six | Accuracy 1 | Critical Hit 2 | As long as Lieutenant Bastian is in any arena, Red Squadron gets +1 power.		RES	
Rey (A)	TFA	TFA048_Rey_A	L	Character	Force Sensitive Scavenger	6.0	40.0	5	4.0	R	48.0		Stealth | Tap -> Remove  a card from your discard pile from the game. Then draw a card, show it to your opponent, and put it into your hand. If that card is a non-unit card, gain 1 build point. If that card is a unit card, gain 2 Force instead. Play only during your build step.		RES	
Rey (B)	TFA	TFA049_Rey_B	L	Ground/Character	Force Sensitive Scavenger	6.0	40.0	5	6.0	R	49.0		Tap -> search your deck for a Rey unit card, show it to your opponent, and put it into your hand. Shuffle your deck. | Pay 2 Force -> Evade X, where X is the number of cards in Rey's stack.		RES	
Rey's Speeder (A)	TFA	TFA050_Rey_s_Speeder_A	L	Ground	Jakku Scavenger Speeder	5.0	70.0	0	4.0	R	50.0		Whenever one of your non-unit cards would be discarded, you may put it beneath Rey's Speeder instead. | Tap -> Remove all non-unit cards beneath Rey's Speeder from the game. Gain 1 build point for each card removed this way. Rey's Speeder doesn't untap next turn. Play only during your build step.		RES	
Smuggler's Sacrifice	TFA	TFA051_Smuggler_s_Sacrifice	L	Battle						R	51.0		Discard one of your Smugglers from the Character arena -> Choose one: Gain 6 Force. Or:  Your opponent loses 6 Force. Play only when no unit is attacking.		RES	
Snoke (A)	TFA	TFA052_Snoke_A	D	Character	First Order Supreme Leader	7.0	10.0	4	5.0	R	52.0		Treat Snoke as a Dark Jedi Master. | Each of your First Order units costs 1 less build counter to deploy. | Reserves: Tap  ->  Search your deck for a Battle card, show it to your opponent, and put it into your hand. Shuffle your deck.		RES	
Snoke (B)	TFA	TFA053_Snoke_B	D	Character	First Order Supreme Leader	7.0	10.0	5	4.0	R	53.0		Treat Snoke as a Dark Jedi Master. | Whenever your opponent deploys a Force Sensitive or Jedi, gain 1 Force. | Reserves: Tap -> One of your First Order Characters gets +2 power for this attack. If that Character is Kylo Ren, you may also remove 1 damage counter from him.		RES	
Starchart Memory Drive (A)	TFA	TFA054_Starchart_Memory_Drive_A	L	Equipment	Character - Device	1.0				R	54.0		"Discard a card from your hand -> Equip | Equipped BB-8 gets ""Tap, tap R2-D2 -> Search your deck and your discard pile for any number of Luke Skywalker unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. Play only if you have a Force Sensitive or Jedi in any arena or your build zone and only during your build step."""		RES	
Starkiller Base (A)	TFA	TFA055_Starkiller_Base_A	D	Ground	First Order Fortification - Battle Station	19.0	10.0	0	20.0	R	55.0		You can't lose the game. | Units in any arena can attack Starkiller Base. | Tap, Pay 10 Force -> Choose an arena. Discard the Location and all units (yours or your opponent's) from the chosen arena. Play only when Starkiller Base would attack.		RES	
Starkiller Base Army (A)	TFA	TFA056_Starkiller_Base_Army_A	D	Ground/Character	First Order Stormtrooper Army	12.0	40.0	8	7.0	R	56.0		Switch: Precision, Overkill/Accuracy 1, Damage Control 1 | Critical Hit 2 | When you deploy Starkiller Base Army, you may search your deck for up to 3  First Order Ground unit cards. If you do, show them to your opponent and put them into your build zone with 1 build counter on each of them. Shuffle your deck.		RES	
Strength in Numbers	TFA	TFA057_Strength_in_Numbers	D	Resource		4.0				R	57.0		Add 2 counters -> Search your deck for a First Order Stormtrooper unit card, show it to your opponent, and put it into your hand. Shuffle your deck. | Remove 8 counters -> Each of your First Order Stormtroopers gets +2 power and Accuracy 1 until end of turn. Play only if you have a Dark Jedi in any arena.		RES	
Strength in Unity	TFA	TFA058_Strength_in_Unity	L	Resource		4.0				R	58.0		Add 1 counter -> One of your Resistance units gets +1 power until end of turn. | Add 1 counter -> One of your Resistance units gets Shields 2 until end of turn. | Remove 4 counters -> Remove 1 damage counter from each of your Resistance units in any arena. Play only when the battle phase ends.		RES	
The Force Awakens	TFA	TFA059_The_Force_Awakens	N	Event						R	59.0		Until end of game, whenever a unit's Force-activated ability is used, each player may draw a card.		RES	
Turning the Tide	TFA	TFA060_Turning_the_Tide	L	Mission		4.0				R	60.0		"Choose up to 3 of your non-multi-arena Starfighters. The chosen Starfighters gets the Ground subtype with ""Switch: +10 speed/+1 power"" until they are discarded."		RES	
Admiral Statura (B)	TFA	TFA061_Admiral_Statura_B	L	Character	Resistance Officer	6.0	40.0	4	5.0	U	61.0		Tap -> Look at your opponent's hand. If your opponent has any Space unit cards there, you may discard one of them. Play only during your build step.		RES	
Anakin Skywalker's Lightsaber (B)	TFA	TFA062_Anakin_Skywalker_s_Lightsaber_B	L	Equipment	Character - Lightsaber Weapon	2.0				U	62.0		"Pay 2 Force -> Equip | Equipped Jedi gets Parry 1 | Equipped Finn gets +2 power. | Equipped Rey gets ""Pay 2 Force -> Evade 2."""		RES	
Atmospheric Assault Lander	TFA	TFA063_Atmospheric_Assault_Lander	D	Ground	First Order Transport	6.0	40.0	1	4.0	U	63.0		"When you deploy this unit, you may pay 3 build points. If you do, take 1 50/4/2 Assault Trooper Squad Subordinate with ""Accuracy 1"" and put it into the Ground arena. | Tap, Pay 2 build points -> Take 1 Ground or Character Subordinate with the First Order subtype and put it into its arena."	<s><l>Pay 3BP to spawn Assault Trooper Squad</l><f>/spawn Assault Trooper Squad;/player stat2 -3;/s pays 3BP to spawn an Assault Trooper Squad subordinate upon deployment of Atmospheric Assault Lander</f></s>	RES	
Bala-Tik (A)	TFA	TFA064_Bala_Tik_A	N	Character	Guavian Crime Lord	6.0	40.0	3	3.0	U	64.0		"Each of your opponent's Characters loses Bounty. | When you deploy Bala-Tik, take 1 50/3/3 Guavian Death Gang Enforcers Subordinate with ""Bala-Tik can't be attacked."" and put it into the Ground or Character arena."	<s><a>y</a><l>Spawn Guavian Death Gang Enforcers</l><f>/spawn Guavian Death Gang Enforcers;/s spawns Guavian Death Gang Enforcers subordinate upon deployment of Bala-Tik (A)</f></s>	RES	
BB-8 (B)	TFA	TFA065_BB_8_B	L	Character	Resistance Astromech Droid	4.0	40.0	0	3.0	U	65.0		As long as you have Poe Dameron in any arena, you may attach Starchart Memory Drive to BB-8 without paying its equip cost. | Tap -> Draw a card.		RES	
Bleeding	TFA	TFA066_Bleeding	L	Mission		4.0				U	66.0		Each of your Characters gets Accuracy 2 when attacking a damaged Character until end of turn.		RES	
Bobbajo (A)	TFA	TFA067_Bobbajo_A	N	Character	Nu-Cosian Merchant Scavenger	3.0	30.0	1	4.0	U	67.0		Reserves: Tap, discard a card from your hand -> Choose one of your attacking units in the Ground or Character arena. You may reroll any number of its attack dice once.		RES	
C-3PO (M) 	TFA	TFA068_C_3PO_M	L	Character	Resistance Protocol Droid	3.0	40.0	1	3.0	U	68.0		Stealth | When you deploy C-3PO, gain 1 Force. | General Leia Organa Solo gets +1 health. | Han Solo gets +1 health and Fury 1.		RES	
Captain Temmin Wexley (A)	TFA	TFA069_Captain_Temmin_Wexley_A	L	Character	Resistance Officer	5.0	40.0	3	4.0	U	69.0		Starfighter Pilot. The Starfighter gets:  - Each of your opponent's Space units loses Stealth.  - Tap -> Look at your opponent's hand and choose one of those cards for him or her to discard. Play only during your build step.		RES	
Chewbacca (T)	TFA	TFA070_Chewbacca_T	L	Character	Resistance Wookiee Soldier	7.0	30.0	6	6.0	U	70.0		"As long as Chewbacca has an Equipment attached, he gets ""Tap -> Put 3 damage counters on one of your opponent's units in the Character arena. Play only when Chewbacca would attack."" | Pay 2 Force -> Retaliate 4."		RES	
Chief Petty Officer Unamo (A)	TFA	TFA071_Chief_Petty_Officer_Unamo_A	D	Character	First Order Officer	5.0	30.0	3	3.0	U	71.0		Capital Ship Pilot.  The Capital Ship gets:  - This unit can have up to 3 Pilots.  - This unit can attack units in your opponent's build zone.		RES	
Constable Zuvio (A)	TFA	TFA072_Constable_Zuvio_A	N	Character	Kyuzo Officer	5.0	30.0	4	4.0	U	72.0		Whenever your opponent uses an activated ability to discard a card from your deck or hand, he or she must discard the top card of his or her deck.		RES	
D'Qar Starfighter Base	TFA	TFA073_D_Qar_Starfighter_Base	L	Location	Ground - Resistance Facility	2.0				U	73.0		When your build step starts, you may search your deck for a Resistance Space unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck. | Each of your Resistance Starfighters gets Damage Control 1.		RES	
Darth Vader's Helmet (A)	TFA	TFA074_Darth_Vader_s_Helmet__A	D	Equipment	Character - Armor Defense	2.0				U	74.0		"Pay 4 Force -> Equip | Equipped unique Sith gets ""Discard Darth Vader's Helmet -> This unit gets Double Strike until end of turn. Play only when no unit is attacking."" | Equipped Kylo Ren also gets +2 power and Fury 2."		RES	
Elite Garrison Troopers	TFA	TFA075_Elite_Garrison_Troopers	D	Ground	First Order Stormtrooper Squad	6.0	40.0	4	4.0	U	75.0		Accuracy 1 | Double Strike		RES	
Ello Asty (A)	TFA	TFA076_Ello_Asty_A	L	Character	Abednedo Resistance Officer 	4.0	30.0	2	3.0	U	76.0		Starfighter Pilot. The Starfighter gets:  - Fury 2  - Discard this unit -> Put 3 damage counters on one of your opponent's units in the Space arena.		RES	
Finalizer (B)	TFA	TFA077_Finalizer_B	D	Space	First Order Capital Ship	9.0	30.0	6	6.0	U	77.0		"Armor | When you deploy Finalizer, take 1 60/3/3 TIE Pursuit Team Subordinate with ""Pay 1 Force -> Intercept"" and put it into the Space arena. | As long as you have General Armitage Hux in any arena, Finalizer gets Shields 1."	<s><a>y</a><l>Spawn TIE Pursuit Team</l><f>/spawn TIE Pursuit Team;/s spawns TIE Pursuit Team subordinate upon deployment of Finalizer (B)</f></s>	RES	
Finalizer Hangar Bay	TFA	TFA078_Finalizer_Hangar_Bay	D	Location	Space - First Order Facility	2.0				U	78.0		When your build step starts, you may search your deck for a First Order unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.		RES	
Finn (C)	TFA	TFA079_Finn_C	L	Character	Independent Soldier	5.0	50.0	4	3.0	U	79.0		Starfighter Pilot. If Finn is the extra Pilot on the Starfighter, it gets:  - Precision  - When this unit is discarded from its arena, move Finn to the Character arena untapped. | Transport Pilot. If Finn is the extra Pilot on the Transport, it gets:  - Critical Hit 2		RES	
First Order Assault Company	TFA	TFA080_First_Order_Assault_Company	D	Ground	First Order Stormtrooper Squad	6.0	50.0	5	5.0	U	80.0		Hidden Cost 4 | Accuracy 1 | When you deploy this unit, you may tap one of your opponent's non-Jedi in the Character arena.		RES	
First Order Commander	TFA	TFA081_First_Order_Commander	D	Character	First Order Stormtrooper Officer	7.0	40.0	4	4.0	U	81.0		When you deploy this unit, you may look at your opponent's hand. | Each of your First Order Stormtroopers in the Ground and Character arena gets Accuracy 1.		RES	
FN-2199 (A)	TFA	TFA082_FN_2199_A	D	Character	First Order Stormtrooper	6.0	50.0	5	4.0	U	82.0		Critical Hit 2 | FN-2199 gets Accuracy 1 and Fury 2 when attacking a Resistance unit. | As long as you have Kylo Ren in any arena, FN-2199 gets Parry 1.		RES	
Force Block	TFA	TFA083_Force_Block	D	Battle						U	83.0		Pay 3 Force, tap one of your untapped Dark Jedi in the Character arena -> Choose an untapped Character. Tap that Character. That Character doesn't untap during your next untap step.		RES	
General Armitage Hux (B)	TFA	TFA084_General_Armitage_Hux_B	D	Character	First Order Officer	7.0	30.0	5	4.0	U	84.0		When you deploy Hux, you may search your deck for a Starkiller Base unit card. If you do, show it to your opponent and put it into your build zone with 3 build counters on it. Shuffle your deck.		RES	
Guavian Death Gang (A)	TFA	TFA085_Guavian_Death_Gang_A	N	Ground	Crime Gang Squad	7.0	50.0	6	5.0	U	85.0		Stack: Bala-Tik | Bounty: Take a Creature unit card with printed build cost 7 or less from your hand and put it into its arena. | Critical Hit 2		RES	
Han Solo (R)	TFA	TFA086_Han_Solo_R	L	Character	Resistance Smuggler	7.0	30.0	6	7.0	U	86.0		When Han is discarded from the Character arena, you may remove Han from the game instead. If you do, search your deck for a Wookiee Character unit card, show it to your opponent, and put it into your build zone with 2 build counters on it. Shuffle your deck. | INSERT: Equipment costs 2 less build points to attach to Han.		RES	
Han's Strike Team (C)	TFA	TFA087_Han_s_Strike_Team_C	L	Ground	Resistance Smuggler Arctic Squad - Wookiee	7.0	40.0	5	5.0	U	87.0		Stack: Chewbacca, Finn, and Han Solo. | Bounty: Draw a card. | Stealth | Han's Strike Team gets Accuracy 1 when attacking a First Order unit.		RES	
Hidden Master	TFA	TFA088_Hidden_Master	L	Mission		1.0				U	88.0		You may complete Hidden Master only if you have a Jedi Master in any arena or your build zone. Draw 2 cards. Then gain 2 Force if you draw a Jedi Master unit card. 		RES	
Kanjiklub Gang (A)	TFA	TFA089_Kanjiklub_Gang_A	N	Ground/Character	Nar Kanji Crime Gang Squad	8.0	30.0	5	4.0	U	89.0		Bounty: Draw a card. | Fury 2 | Tap -> Discard the top 3 cards of your opponent's deck.		RES	
Kylo Ren (C)	TFA	TFA090_Kylo_Ren_C	D	Character	First Order Dark Jedi Apprentice	7.0	40.0	6	6.0	U	90.0		Critical Hit 2 | Pay 4 Force -> Disrupt an attack. Play only when Kylo is attacked. You may play this ability any number of times per turn. | Pay 2 Force -> Evade 2.		RES	
